Liga,Klub,Link_Bezposredni
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1A7Sx8LzBgNAOX7Uc6epW2efxcO4sIi_b
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1R5Vb30G6edBpUt34jisc1It_FfWc0ozV
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1T0bxmWtX0mLVeBVtAmJSGJJ6dMTINmTG
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1T5z_yk-M6WWpG1zwe9cjcEOeRNcTV3c4
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1oafAuR0uID0Z3r8r5ypHw0xjm_DTxSNx
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1x-4g8O9zmrUqjT8Gt7qwYDG3uKlUxsTx
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=10jUvsgTgnrQ8gxaD9H6_0U_BEMUnVckr
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1RlteTtSvMbnW75akj7aYji6soUJBsfmf
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1cZ_TUlirtjM74GKV2KCYoT_xJ5um2h5l
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1vczENdT_z95rWMHI4QJqfTxC_1fGmEVw
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1zZ7QfiTOX18KRa6usB7ur-OFn-KgcBBu
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=117KzhRG_S51F1xzKgDlHDYUgV6PuMQBi
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1J0T1Wx-DFsdwwdP9sQjsgaqDym0NA5ED
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=12U20c2uUrVF6_DsJ09oR33zVzZ1jMzqi
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=17zrh3mx5Kg3bmpXWnSWt_FDouGxys3F-
Bundesliga (NIE),Freiburg,https://drive.google.com/uc?export=view&id=1ZHQjVLNWj7-ZyXi7p9bwxWnmyxTQ9yFs
Bundesliga (NIE),FC Heidenheim,https://drive.google.com/uc?export=view&id=1AfOD0Ae7iUROQydXUdHpjXeEKX3p7PGf
